param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,avgmou,-0.000239049037923243,0.9997609795320215,1.8629847575428042e-05,-0.0002755628682085528,-0.00020253520763793319,0.9997244750957515,0.9997974853012328,0.0,-12.831507984989543,1.0921746382871873e-37,122.78413594977019
lambda_,avgqty,4.273961821252042e-05,1.000042740531563,4.088369388821528e-05,-3.739094936334186e-05,0.0001228701857883827,0.9999626097496696,1.000122877734639,0.0,1.0453952211211548,0.2958403444927807,1.7571092850781238
lambda_,avgrev,-0.007197070802952484,0.9928287660906443,8.929740918418188e-05,-0.007372090508866217,-0.007022051097038751,0.9926550166972078,0.9930025458963099,0.0,-80.59663621492135,0.0,inf
lambda_,change_mou,8.754025664038183e-05,1.0000875440884005,6.994273360318677e-06,7.383173275612928e-05,0.00010124878052463438,1.0000738344583857,1.0001012539063554,0.0,12.515990172336254,6.104188090929851e-36,116.9796119987151
lambda_,change_rev,-0.00029143243896348177,0.9997086100233447,2.5499369536913484e-05,-0.00034141028488431,-0.00024145459304265356,0.999658647988975,0.9997585745547717,0.0,-11.429005667830232,2.9951888452878415e-30,98.07519587947617
lambda_,dualband_T,-0.11690096742899267,0.8896732954346456,0.007329500867754904,-0.13126652515444737,-0.10253540970353799,0.8769840049423431,0.9025461902940638,0.0,-15.949376299726199,2.877563318816729e-57,187.82505373435322
lambda_,dualband_Y,-0.08242773972682993,0.9208779783469303,0.003083293370231361,-0.08847088368625453,-0.07638459576740533,0.9153297613765243,0.9264598255048923,0.0,-26.733667487711298,1.9122135562049725e-157,520.6074672446703
lambda_,mou_Mean,-3.148581483042786e-05,0.9999685146808427,1.3479196361185656e-05,-5.790455423889509e-05,-5.0670754219606224e-06,0.9999420971221975,0.9999949329374158,0.0,-2.3358821985184215,0.019497381991722105,5.680575770472937
lambda_,mou_cvce_Mean,2.2108885498167747e-05,1.0000221091299013,1.7829269914733557e-05,-1.2835841405353545e-05,5.7053612401689036e-05,0.9999871642409737,1.00005705523999,0.0,1.24003313674093,0.2149631379634397,2.2178388082671048
lambda_,mou_opkv_Mean,-9.522583874434693e-06,0.9999904774614652,1.6759204112060038e-05,-4.237002034362795e-05,2.332485259475856e-05,0.999957630877253,1.0000233251246213,0.0,-0.5682002445200949,0.5698990054540651,0.8112218198912065
lambda_,mou_peav_Mean,-3.44975503631761e-05,0.9999655030446705,1.568829077931095e-05,-6.524603526961739e-05,-3.749065456734814e-06,0.9999347560932067,0.999996250941571,0.0,-2.198936190593178,0.027882459814592562,5.164498347156187
lambda_,mouowylisv_Mean,-0.00012577919677847182,0.9998742287130931,3.524130533095154e-05,-0.00019485088599531622,-5.6707507561627396e-05,0.9998051680962057,0.9999432941002787,0.0,-3.569084504597029,0.000358230871489718,11.446822708819742
lambda_,new_cell_U,-0.07152881748619234,0.9309694490090551,0.0038438400227978095,-0.07906260549320968,-0.06399502947917501,0.9239820762806967,0.9380096619157007,0.0,-18.60868742246166,2.7322931144118865e-77,254.3383510452373
lambda_,new_cell_Y,-0.002137664744441469,0.9978646184336588,0.004476929399467944,-0.010912285128727172,0.006636955639844233,0.9891470378753785,1.0066590290362907,0.0,-0.47748457786614135,0.6330171001598044,0.6596836221175902
lambda_,rev_Mean,-0.00017991901889230307,0.9998200971655637,5.2132734345908784e-05,-0.0002820973006258786,-7.774073715872756e-05,0.9997179424850764,0.999922262284574,0.0,-3.451171728275606,0.0005581582984563262,10.80703803883887
lambda_,totcalls,0.0006156156100871565,1.0006158051402674,4.548447858844236e-05,0.0005264676701982262,0.0007047635499760868,1.0005266062786253,1.0007050119541585,0.0,13.534630475979224,9.767235942498778e-42,136.23302963763447
lambda_,totmou,3.180994912865689e-08,1.0000000318099496,1.691311202846167e-05,-3.31172804931474e-05,3.318090039140471e-05,0.9999668832678779,1.0000331814508836,0.0,0.0018807862843412005,0.9984993505462766,0.002166605589642532
lambda_,totrev,-0.0009774350021236413,0.9990230425318692,2.2684490398984735e-05,-0.001021895786313296,-0.0009329742179339867,0.9989786261713751,0.9990674608671934,0.0,-43.08825038306293,0.0,inf
lambda_,Intercept,3.110484800713952,22.43191677433367,0.007132306360615498,3.09650573712044,3.1244638643074643,22.120521163654086,22.747695971893194,0.0,436.1120573689891,0.0,inf
rho_,Intercept,1.293872134461679,3.6468804629094067,0.0030740929658179413,1.287847022963548,1.2998972459598102,3.6249736632269713,3.6689196519322653,0.0,420.89557760573814,0.0,inf
